name,info,data,dialog,link
Главное управление специальных программ Президента РФ,C,C,C,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=62
Государственная фельдъегерская служба РФ,A,B,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=62
Управление делами Президента РФ,B,B,C,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=80
Федеральная антимонопольная служба,A,A,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=81
Федеральная налоговая служба,A,A,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=82
Федеральная служба войск национальной гвардии Российской Федерации (Росгвардия),B,C,A,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=66
"Федеральная служба государственной регистрации, кадастра и картографии",A,B,A,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=74
Федеральная служба государственной статистики,A,A,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=77
Федеральная служба исполнения наказаний (ФСИН России),A,B,A,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=83
Федеральная служба по аккредитации,A,B,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=64
Федеральная служба по ветеринарному и фитосанитарному надзору,A,A,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=74
Федеральная служба по военно-техническому сотрудничеству,A,B,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=82
Федеральная служба по гидрометеорологии и мониторингу окружающей среды,A,B,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=67
Федеральная служба по интеллектуальной собственности,A,A,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=72
Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека,A,A,C,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=73
Федеральная служба по надзору в сфере здравоохранения,A,A,C,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=68
